pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB davon:;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Missbrauch §§ 176-176e, 182, 183, 183a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;Vergewaltigung
Softwarepiraterie;Straftaten nach anderen Bundes- u. Landesgesetzen
Softwarepiraterie (private Anwendung z.B. Computerspiele);Straftaten nach anderen Bundes- u. Landesgesetzen
Softwarepiraterie in Form gewerbsmäßigen Handelns;Straftaten nach anderen Bundes- u. Landesgesetzen
Sonstige Bandenhehlerei § 260 Abs. 1 Nr. 2 StGB;Diebstahl und Unterschlagung
Sonstige Gewerbsmäßige Bandenhehlerei § 260a StGB;Diebstahl und Unterschlagung
Sonstige Hehlerei §§ 259-260a StGB;Diebstahl und Unterschlagung
Sonstige Hehlerei §§ 259-260a StGB darunter:;Diebstahl und Unterschlagung
Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Sonstige Sachbeschädigung auf Straßen, Wegen oder Plätzen;Straftaten nach dem StGB (ohne Verkehr)
Sonstige Straftatbestände (StGB);Straftaten nach dem StGB (ohne Verkehr)
Sonstige Straftaten gemäß § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;Vergewaltigung
Sonstige Straftaten im Amt §§ 258a, 339-353d, 355, 357 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Sonstige Straftaten im Amt §§ 258a, 339-353d, 355, 357 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Sonstige Straftaten nach dem StGB mit Umweltrelevanz;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Sonstige Straftaten § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;Vergewaltigung
Sonstige Verstöße gegen das Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Sonstige Verstöße gegen das Ausländergesetz und das Asylverfahrensgesetz;Straftaten nach dem Aufenthaltsgesetz
Sonstige Verstöße gegen das BtMG;Straftaten nach dem Betäubungsmittelgesetz
Sonstige Verstöße gegen das BtMG davon:;Straftaten nach dem Betäubungsmittelgesetz
Sonstige gewerbsmäßige Hehlerei § 260 Abs. 1 Nr. 1 StGB;Diebstahl und Unterschlagung
Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;Vergewaltigung
Sonstige sexuelle Nötigung § 177 Abs. 5, 7, 8 und 9 StGB;Vergewaltigung
Sonstige weitere Betrugsarten;Betrug
Sonstiger Betrug;Betrug
Sonstiger Betrug davon:;Betrug
Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;Vergewaltigung
Sonstiger Warenkreditbetrug;Betrug
Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;Vergewaltigung
Sozialleistungsbetrug;Betrug
Sportwettbetrug und Manipulation von berufssportlichen Wettbewerben §§ 265c-e StGB;Betrug
Sprengstoff;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Sprengstoff- und Strahlungsverbrechen §§ 307-312 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Sprengstoff- und Strahlungsverbrechen §§ 307-312 StGB davon:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Sprengstoff- und Strahlungsverbrechen §§ 310b, 311, 311a, 311b, 311c, 311d StGB davon:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Sprengstoff- und Strahlungsverbrechen §§ 310b, 311, 311a, 311b, 311d, 311e StGB davon:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Strafbarer Eigennutz §§ 284, 284a, 286, 288, 289, 290, 292, 293, 296a, 297, 302a StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Strafbarer Eigennutz §§ 284, 284a, 286, 288, 289, 290, 292, 293, 297, 302a StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Strafbarer Eigennutz §§ 284, 284a, 286, 288-293, 297 StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Strafbarer Eigennutz §§ 284, 285, 287-293, 297 StGB;Straftaten nach dem StGB (ohne Verkehr)
Strafbarer Eigennutz §§ 284, 285, 287-293, 297 StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Strafrechtliche Nebengesetze;Straftaten insgesamt
Straftaten auf dem Umwelt- und Verbraucherschutzsektor gemäß strafrechtlicher Nebengesetze;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten aus Gruppen § 184j StGB;Straftaten gegen die sexuelle Selbstbestimmung
Straftaten gegen AktG, GenG, GmbHG, HGB, RechnungslegungsG darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen Bestimmungen zum Schutze der Jugend;Straftaten gegen die sexuelle Selbstbestimmung
Straftaten gegen Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, §17 UWG, GebrauchsmusterG GeschmacksmusterG, KunsturheberrechtsG, PatentG, ) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen Urheberrechtsbestimmungen (UrheberrechtsG, WarenzeichenG, § 17 UWG, GebrauchsmusterG, GeschmacksmusterG, KunsturheberrechtsG, PatentG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen Urheberrechtsbestimmungen (UrheberrechtsG, WarenzeichenG, §17 UWG, GebrauchsmusterG GeschmacksmusterG, KunsturheberrechtsG, PatentG) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Asylverfahrensgesetz;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU davon:;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen das Ausgangsstoffgesetz;Straftaten nach dem Betäubungsmittelgesetz
Straftaten gegen das Ausländergesetzes und gegen das Asylverfahrensgesetz darunter:;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen das Bundes- (oder Landes-) Datenschutzgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Gesetz über die Verbreitung jugendgefährdender Schriften;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Kriegswaffenkontrollgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Leben;Mord und Totschlag
Straftaten gegen das Sprengstoff-, das Waffen- und das Kriegswaffenkontrollgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Sprengstoff-, das Waffen- und das Kriegswaffenkontrollgesetz davon:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Sprengstoff-, das Waffen-, das Kriegswaffenkontrollgesetz und das Ausgangsstoffgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Sprengstoffgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Waffengesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Waffengesetz in der Fassung vom 08.03.1976 und gegen das Kriegswaffenkontrollgesetz vom 20.04.1961 davon:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Waffengesetz in der Fassung vom 08.03.1976 und gegen das Kriegswaffenkontrollgesetz vom 22.11.1990 davon:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen das Waffengesetz und gegen das Kriegswaffenkontrollgesetz davon:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen des Ausländergesetzes und gegen das Asylverfahrensgesetz davon:;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen die Umwelt davon:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten gegen die Umwelt §§ 324, 324a, 325-330a StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten gegen die Umwelt §§ 324, 324a, 325-330a StGB darunter:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 238-239b, 240, 241, 316c StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 239-239b, 240, 241, 316c StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Straftaten gegen die persönliche Freiheit §§ 234, 235, 236, 239-239b, 240, 241, 316c StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Straftaten gegen die persönliche Freiheit §§ 234, 235-237, 239-239b, 240, 241, 316c StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Straftaten gegen die sexuelle Selbstbestimmung;Vergewaltigung
Straftaten gegen die sexuelle Selbstbestimmung insgesamt;Vergewaltigung
Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;Vergewaltigung
Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB davon:;Vergewaltigung
Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 177 StGB davon:;Vergewaltigung
Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 177, 178 StGB davon:;Vergewaltigung
Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;Vergewaltigung
Straftaten gegen sonstige strafrechtliche Nebengesetze -ohne Verkehrsdelikte-;Straftaten im Straßenverkehr nach dem StGB
Straftaten gegen sonstige strafrechtliche Nebengesetze -ohne Verkehrsdelikte- darunter:;Straftaten im Straßenverkehr nach dem StGB
Straftaten gegen sonstige strafrechtliche Nebengesetze darunter:;Straftaten im Straßenverkehr nach dem StGB
Straftaten gegen strafrechtliche Nebengesetze auf dem Umwelt- und Verbraucherschutzsektor (neben Schlüssel 716000);Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten gegen strafrechtliche Nebengesetze auf dem Umweltsektor (neben Schlüssel 7160);Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten gegen strafrechtliche Nebengesetze auf dem Umweltsektor (neben Schlüssel 7160) darunter:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten gegen strafrechtliche Nebengesetze auf dem Wirtschaftssektor;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen strafrechtliche Nebengesetze auf dem Wirtschaftssektor davon:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen § 11 des Passgesetzes;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen § 12 Abs. 4 des Gesetzes zum Schutze der Jugend in der Öffentlichkeit (JÖSchG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen § 24 des Passgesetzes;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen § 27 Abs. 1 des Jugendschutzgesetzes;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen § 27 Abs. 2 des Jugendschutzgesetzes;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten gegen § 9 FreizügG/EU;Straftaten insgesamt
Straftaten gegen §§ 47, 47a des Ausländergesetzes und gegen das Asylverfahrensgesetz darunter:;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen §§ 84, 85 Asylgesetz;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen §§ 84, 85 Asylverfahrensgesetz;Straftaten nach dem Aufenthaltsgesetz
Straftaten gegen §§ 92 des Ausländergesetzes und gegen das Asylverfahrensgesetz darunter:;Straftaten nach dem Aufenthaltsgesetz
Straftaten gem. § 25 MedCanG;Straftaten insgesamt
Straftaten gem. § 34 KCanG;Straftaten insgesamt
Straftaten gemäß § 4 NpSG;Straftaten nach dem Betäubungsmittelgesetz
Straftaten i.V.m. dem Bankgewerbe sowie Wertpapierhandelsgesetz (Güd- Kreditwesen, BörsenG, DepotG, HypothekenbankG, § 35 BundesbankG);Andere Vermögensdelikte
Straftaten i.V.m. dem Bankgewerbe sowie Wertpapierhandelsgesetz (Güd-Kreditwesen, BörsenG, DepotG, HypothekenbankG, § 35 BundesbankG);Andere Vermögensdelikte
Straftaten i.V.m. dem Bankgewerbe sowie Wertpapierhandelsgesetz (Güd-Kreditwesen, BörsenG, DepotG, PfandBG, § 35 BundesbankG, ZAG);Andere Vermögensdelikte
Straftaten i.Z.m. Lebensmitteln (Lebensmittel- und BedarfsgegenständeG, ArzneimittelG, WeinG, FuttermittelG, FleischbeschauG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten i.Z.m. Lebensmitteln (Lebensmittel- und BedarfsgegenständeG, ArzneimittelG, WeinG, FuttermittelG, FleischbeschauG) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten i.Z.m. Lebensmitteln (Lebensmittel- und BedarfsgegenständeG, ArzneimittelG, WeinG, FuttermittelG, FleischhygieneG) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Amt §§ 331, 332, 335, 335a, 336, 340, 343-345, 348, 352-355, 357 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Straftaten im Amt §§ 331- 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Straftaten im Zusammenhang mit Lebens- und Arzneimitteln (z.B. Lebensmittel- und BedarfsgegenständeG, ArzneimittelG, WeinG, FuttermittelG, FleischhygieneG) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Zusammenhang mit Lebens- und Arzneimitteln (z.B. Lebensmittel- und Futtermittelgesetzbuch, ArzneimittelG, WeinG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Zusammenhang mit Lebensmitteln (z.B. Lebensmittel- und BedarfsgegenständeG, ArzneimittelG, WeinG, FuttermittelG, FleischhygieneG) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Zusammenhang mit Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, § 17 UWG, DesignG,GebrauchsmusterG, KunsturheberrechtsG, PatentG, HalbleiterschutzG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Zusammenhang mit Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, § 17 UWG, GebrauchsmusterG, GeschmacksmusterG, KunsturheberrechtsG, PatentG, HalbleiterschutzG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Zusammenhang mit Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, § 17 UWG, GebrauchsmusterG, GeschmacksmusterG, KunsturheberrechtsG, PatentG, HalbleiterschutzG) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten im Zusammenhang mit Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, § 23 Abs. 1, 2 und 4 GeschGehG, DesignG,GebrauchsmusterG, KunsturheberrechtsG, PatentG, HalbleiterschutzG);Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten insgesamt;Straftaten insgesamt
Straftaten insgesamt auf dem Umwelt- und  Verbraucherschutzsektor;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten insgesamt auf dem Umwelt- und Verbraucherschutzsektor;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten insgesamt, jedoch ohne Verstöße gegen das Asylverfahrens- und Ausländergesetz (Schlüssel 7250);Straftaten nach dem Aufenthaltsgesetz
Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);Straftaten nach dem Aufenthaltsgesetz
Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asylverfahrens- und das Freizügigkeitsgesetz/EU (Schlüssel 725000);Straftaten nach dem Aufenthaltsgesetz
Straftaten nach AktG, GenG, GmbHG, HGB, RechnungslegungsG, UmwandlungsG darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach AktG, GenG, GmbHG, HGB, RechnungslegungsG, UmwandlungsG, InsO;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach AktG, GenG, GmbHG, HGB, RechnungslegungsG, UmwandlungsG, InsO darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach UWG o h n e § 17 UWG;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach UWG ohne § 17;Andere Vermögensdelikte
Straftaten nach UWG ohne §§ 12 und 17;Andere Vermögensdelikte
Straftaten nach dem Abfallverbringungsgesetz (AbfVerbrG);Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Straftaten nach dem Anti-Doping-Gesetz (AntiDopG);Straftaten nach dem Aufenthaltsgesetz
Straftaten nach dem Arzneimittelgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach dem Arzneimittelgesetz (AMG);Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Bundesnaturschutz-, Tierschutz-, Bundesjagd- und PflanzenschutzG;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach dem Bundesseuchen-, Geschlechtskrankheiten- und TierseuchenG;Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem ChemikalienG;Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Infektionsschutz- und Tiergesundheitsgesetz;Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Infektionsschutz- und TierseuchenG;Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Kulturgutschutzgesetz (KGSG);Straftaten nach dem Aufenthaltsgesetz
Straftaten nach dem Lebensmittel- und Bedarfsgegenständegesetz;Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Lebensmittel- und Futtermittelgesetzbuch;Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Naturschutz-, Tierschutz-, Bundesjagd- und PflanzenschutzG;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach dem Naturschutz-,Tierschutz-, Bundesjagd- und PflanzenschutzG, DDT-G;Straftaten nach anderen Bundes- u. Landesgesetzen
Straftaten nach dem Tierarzneimittelgesetz (TAMG);Straftaten nach dem Betäubungsmittelgesetz
Straftaten nach dem Weingesetz;Straftaten nach dem Aufenthaltsgesetz
Straßenkriminalität;Straftaten insgesamt
Subventionsbetrug § 264 StGB;Betrug
Tageswohnungseinbruch;Diebstahl und Unterschlagung
Tageswohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB;Diebstahl und Unterschlagung
Tageswohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3, 244a StGB;Diebstahl und Unterschlagung
Taschendiebstahl insgesamt;Diebstahl und Unterschlagung
Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;Mord und Totschlag
Umschuldungsbetrug;Betrug
Umweltkriminalität;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Umweltstraftaten gemäß 29. Abschnitt des StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Umweltstraftaten gemäß strafrechtlichen Nebengesetzen;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Unerlaubte Einfuhr in nicht geringer Menge von Amphetamin und seinen Derivaten in Pulver- oder flüssiger sowie in Tabletten- bzw. Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von Cannabis und Zubereitungen;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von Heroin;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von Kokain einschl. Crack;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von LSD;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von Methamphetamin in Pulver-, kristalliner oder flüssiger sowie in Tabletten- bzw. Kapselform;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von NPS (BtMG);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr in nicht geringer Menge von sonstigen Betäubungsmitteln;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr von Amphetamin/Methamphetamin und deren Derivate in Pulver- oder flüssiger Form;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr von Amphetamin/Methamphetamin von Amphetamin/Methamphetamin und deren Derivate in Tabletten- bzw. Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr von Betäubungsmitteln § 30 Abs. 1 Nr. 4 BtMG (in nicht geringer Menge);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einfuhr von Betäubungsmitteln § 30 Abs. 1 Nr. 4 BtMG (in nicht geringer Menge) davon:;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte Einreise § 95 Abs. 1 Nr. 3 und Abs. 2 Nr.1a Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Unerlaubte Verschreibung und Verabreichung durch Ärzte § 29 Abs. 1 Nr. 6 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubte(r) Handel, Herstellung, Abgabe und Besitz in nicht geringer Menge von Betäubungsmitteln § 29a Abs. 1 Nr. 2 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Anbau von Betäubungsmitteln § 29 Abs. 1 Nr. 1 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Aufenthalt § 95 Abs. 1 Nr. 1, 2 und Abs. 2 Nr. 1b Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Unerlaubter Handel mit und Schmuggel von  Methamphetamin in Pulver-, kristalliner oder flüssiger sowie in Tabletten- bzw. Kapselform;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Amphetamin und seinen Derivaten in Pulver- oder flüssiger sowie in Tabletten- bzw. Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Cannabis und Zubereitungen;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Heroin;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Kokain einschl. Crack;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von LSD;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Methamphetamin in Pulver-, kristalliner oder flüssiger sowie in Tabletten- bzw. Kapselform;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von NPS (BtMG);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Rauschgiften § 29 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von Rauschgiften § 29 BtMG davon:;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel mit und Schmuggel von sonstigen Betäubungsmitteln;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel und Schmuggel mit/von Amphetamin/Methamphetamin und deren Derivate in Pulver- oder flüssiger Form;Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Handel und Schmuggel mit/von Amphetamin/Methamphetamin und deren Derivate in Tabletten- bzw.Kapselform (Ecstasy);Straftaten nach dem Betäubungsmittelgesetz
Unerlaubter Umgang mit Abfällen § 326 außer Abs. 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Unerlaubter Umgang mit gefährlichen Abfällen § 326 außer Abs. 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Unerlaubter Umgang mit radioaktiven Stoffen und anderen gefährlichen Gütern § 328 StGB;Gefährliche und schwere Körperverletzung
Unerlaubtes Betreiben von Anlagen § 327 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Unterschlagung von Kfz;Diebstahl und Unterschlagung
Unterschlagung von Kfz §§ 246, 247 StGB;Diebstahl und Unterschlagung
Unterschlagung §§ 246, 247, 248a StGB;Diebstahl und Unterschlagung
Unterschlagung §§ 246, 247, 248a StGB darunter:;Diebstahl und Unterschlagung
Untreue bei Kapitalanlagegeschäften;Betrug
Untreue § 266 StGB;Betrug
Untreue § 266 StGB darunter:;Betrug
Urkundenfälschung §§ 267- 275, 277-279, 281 StGB darunter:;Urkundenfälschung
Urkundenfälschung §§ 267-271, 273-279, 281 StGB;Urkundenfälschung
Urkundenfälschung §§ 267-271, 273-279, 281 StGB darunter:;Urkundenfälschung
Urkundenfälschung §§ 267-279, 281 StGB darunter:;Urkundenfälschung
Verbreitung jugendpornographischer Schriften (Erzeugnisse) durch gewerbs-/ bandenmäßiges Handeln § 184c Abs. 3 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung kinderpornographischer Schriften (Erzeugnisse) durch gewerbs-/bandenmäßiges Handeln § 184b Abs. 3 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornografischer Inhalte (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornografischer Inhalte (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184e StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornografischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornografischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d, 184e StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornographischer Schriften (Erzeugnisse) § 184 StGB darunter:;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornographischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c StGB darunter:;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornographischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung pornographischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d StGB darunter:;Straftaten gegen die sexuelle Selbstbestimmung
