pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Bestechlichkeit §§ 108b, 108e, 332 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechlichkeit §§ 108e, 332 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechlichkeit §§ 332 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechung - gewerbsmäßig oder als Mitglied einer Bande nach § 335 Abs. 2 Nr. 3 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechung -gewerbsmäßig oder als Mitglied einer Bande nach § 335 Abs. 2 Ziff. 3 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechung im Gesundheitswesen;Andere Vermögensdelikte
Bestechung von Angestellten nach § 12 UWG;Straftaten nach anderen Bundes- u. Landesgesetzen
Bestechung § 334 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechung §§ 108b, 108e, 334 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechung §§ 108e, 334 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Bestechung §§ 334 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Beteiligungs- und Kapitalanlagebetrug;Betrug
Beteiligungs- und Kapitalanlagebetrug davon:;Betrug
Beteiligungsbetrug;Betrug
Betrug bei Börsenspekulationen;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel  §§ 263, 263a StGB;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;Betrug
Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Betrug
Betrug mit Zugangsberechtigungen zu Kommunikationsdiensten;Betrug
Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten;Betrug
Betrug mittels rechtswidrig erlangter Debitkarten mit PIN;Betrug
Betrug mittels rechtswidrig erlangter Debitkarten ohne PIN (Lastschriftverfahren);Betrug
Betrug mittels rechtswidrig erlangter Kreditkarten;Betrug
Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);Betrug
Betrug mittels rechtswidrig erlangter sonstige unbare Zahlungsmittel;Betrug
Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;Betrug
Betrug mittels rechtswidrig erlangter unbarer Zahlungsmittel davon:;Betrug
Betrug und Untreue im Zusammenhang mit Beteiligungen und Kapitalanlagen (Wikri);Betrug
Betrug z. N. v. Versicherungen §§ 263, 265 StGB;Betrug
Betrug z.N.v. Sozialversicherungen und Sozialversicherungsträgern;Betrug
Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Betrug
Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB;Betrug
Betrug §§ 263, 263a, 264, 264a, 265, 265a, 265b StGB davon:;Betrug
Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;Betrug
Betrügerisches Erlangen von Kfz;Betrug
Betrügerisches Erlangen von Kfz §§ 263, 263a StGB;Betrug
Betäubungsmittelanbau, -herstellung und -handel als Mitglied einer Bande § 30 Abs. 1 Nr. 1 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Betäubungsmittelanbau, -herstellung und -handel als Mitglied einer Bande §§ 30 Abs. 1 Nr. 1, 30a BtMG;Straftaten nach dem Betäubungsmittelgesetz
Betäubungsmittelanbau, -herstellung und -handel §§ 30 Abs. 1 Nr. 1, 30a BtMG;Straftaten nach dem Betäubungsmittelgesetz
Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306d, 306f StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306d, 306f StGB darunter:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Brandstiftung §§ 306-309 StGB darunter:;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Betrug
Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;Betrug
Computerbetrug § 263a StGB;Betrug
Computerbetrug § 263a StGB (soweit nicht unter den Schlüssel 5163 bzw. 5179 zu erfassen);Betrug
Computerkriminalität;Straftaten nach dem StGB (ohne Verkehr)
Cybercrime;Straftaten nach dem StGB (ohne Verkehr)
Datenveränderung, Computersabotage §§ 303a, 303b StGB;Straftaten nach dem StGB (ohne Verkehr)
Delikte im Zusammenhang mit Schwarzarbeitsbekämpfungsgesetz und Arbeitnehmerüberlassungsgesetz;Straftaten nach anderen Bundes- u. Landesgesetzen
Delikte im Zusammenhang mit illegaler Beschäftigung gemäß §§ 10, 11 SchwarzArbG, §§ 15, 15a AÜG und Erschleichung von Sozialleistungen i.Z.m. der Erbringung von Dienst- oder Werkleistungen gemäß § 9 SchwarzArbG;Straftaten nach anderen Bundes- u. Landesgesetzen
Delikte im Zusammenhang mit illegaler Beschäftigung §§ 15, 15a ArbNehmÜblG, §§ 227, 227a ArbFöG;Straftaten nach anderen Bundes- u. Landesgesetzen
Delikte im Zusammenhang mit illegaler Beschäftigung §§ 406, 407 SGB III, §§ 15, 15a AÜG;Straftaten nach anderen Bundes- u. Landesgesetzen
Diebstahl insgesamt;Diebstahl und Unterschlagung
Diebstahl insgesamt an/aus Kraftfahrzeugen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Banken, Sparkassen, Postfilialen und -agenturen und dergleichen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Boden-, Kellerräumen und Waschküchen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Gaststätten, Kantinen, Hotels und Pensionen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern und Schaukästen darunter:;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen darunter:;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus Wohnungen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus überwiegend unbezogenen Neu- und Rohbauten und Baustellen;Diebstahl und Unterschlagung
Diebstahl insgesamt in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen;Diebstahl und Unterschlagung
Diebstahl insgesamt und zwar:;Diebstahl und Unterschlagung
Diebstahl insgesamt von Antiquitäten, Kunst- und sakralen Gegenständen;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln aus Apotheken;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln aus Arztpraxen;Diebstahl und Unterschlagung
Diebstahl insgesamt von Betäubungsmitteln aus Krankenhäusern;Diebstahl und Unterschlagung
