jahr;nationalitaet;straftat_bezeichnung;tatverdaechtige;verurteilte;bevoelkerung_gesamt;tatverdaechtige_pro_100k;verurteilte_pro_100k
1986;Deutsch;Diebstahl und Unterschlagung;0;588388;56478581;0.0;1041.7896299483868
1986;Deutsch;Gefährliche und schwere Körperverletzung;0;46036;56478581;0.0;81.51054644945843
1986;Deutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);0;32636;56478581;0.0;57.78473789913384
1986;Deutsch;Körperverletzung;0;58196;56478581;0.0;103.04083241751418
1986;Deutsch;Mord und Totschlag;0;2176;56478581;0.0;3.8527880153362917
1986;Deutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;0;21572;56478581;0.0;38.19501060056732
1986;Deutsch;Sexueller Missbrauch von Kindern;0;5100;56478581;0.0;9.029971910944434
1986;Deutsch;Straftaten gegen den Staat,die öffentliche Ordnung;0;65568;56478581;0.0;116.09356828564798
1986;Deutsch;Straftaten gegen die sexuelle Selbstbestimmung;0;17644;56478581;0.0;31.240161646412467
1986;Deutsch;Straftaten im Straßenverkehr nach dem StGB;0;823404;56478581;0.0;1457.9049002665276
1986;Deutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;0;231808;56478581;0.0;410.4352409278838
1986;Deutsch;Straftaten nach dem Aufenthaltsgesetz;0;548;56478581;0.0;0.9702793347446177
1986;Deutsch;Straftaten nach dem Betäubungsmittelgesetz;0;55940;56478581;0.0;99.046397783967
1986;Deutsch;Straftaten nach dem StGB (ohne Verkehr);0;1282952;56478581;0.0;2271.572651586271
1986;Deutsch;Straftaten nach dem Straßenverkehrsgesetz;0;128328;56478581;0.0;227.21534027209358
1986;Deutsch;Urkundenfälschung;0;51220;56478581;0.0;90.68924730952429
1986;Deutsch;Vergewaltigung;0;3716;56478581;0.0;6.5794854158959835
1986;Deutsch;Verletzung der Unterhaltspflicht;0;17032;56478581;0.0;30.156565017099137
1986;Nichtdeutsch;Andere Straftaten gegen die Person (ohne Verkehr);0;24656;4661880;0.0;528.8853423940556
1986;Nichtdeutsch;Andere Vermögensdelikte;0;53688;4661880;0.0;1151.6383948106773
1986;Nichtdeutsch;Betrug;0;15136;4661880;0.0;324.6758818330802
1986;Nichtdeutsch;Diebstahl und Unterschlagung;0;99692;4661880;0.0;2138.450582168567
1986;Nichtdeutsch;Gefährliche und schwere Körperverletzung;0;7708;4661880;0.0;165.3410212189074
1986;Nichtdeutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);0;2452;4661880;0.0;52.59680643860417
1986;Nichtdeutsch;Körperverletzung;0;7380;4661880;0.0;158.3052330819326
1986;Nichtdeutsch;Mord und Totschlag;0;644;4661880;0.0;13.814169390889512
1986;Nichtdeutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;0;4364;4661880;0.0;93.61030313950594
1986;Nichtdeutsch;Sexueller Missbrauch von Kindern;0;544;4661880;0.0;11.669112032055738
1986;Nichtdeutsch;Straftaten gegen den Staat,die öffentliche Ordnung;0;7336;4661880;0.0;157.36140784404574
1986;Nichtdeutsch;Straftaten gegen die sexuelle Selbstbestimmung;0;2724;4661880;0.0;58.431362454632044
1986;Nichtdeutsch;Straftaten im Straßenverkehr nach dem StGB;0;70016;4661880;0.0;1501.8833603610562
1986;Nichtdeutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;0;72112;4661880;0.0;1546.8437626022119
1986;Nichtdeutsch;Straftaten nach dem Aufenthaltsgesetz;0;7508;4661880;0.0;161.05090650123984
1986;Nichtdeutsch;Straftaten nach dem Betäubungsmittelgesetz;0;12640;4661880;0.0;271.13525015658917
1986;Nichtdeutsch;Straftaten nach dem StGB (ohne Verkehr);0;194912;4661880;0.0;4180.974199250088
1986;Nichtdeutsch;Straftaten nach dem Straßenverkehrsgesetz;0;17860;4661880;0.0;383.10724428771226
1986;Nichtdeutsch;Urkundenfälschung;0;12856;4661880;0.0;275.76857405167016
1986;Nichtdeutsch;Vergewaltigung;0;908;4661880;0.0;19.47712081821068
1986;Nichtdeutsch;Verletzung der Unterhaltspflicht;0;1116;4661880;0.0;23.93884012458493
1987;Deutsch;Andere Straftaten gegen die Person (ohne Verkehr);401615;188580;56951607;705.1864225710084;331.1232288844808
1987;Deutsch;Andere Vermögensdelikte;277133;363840;56951607;486.61137867452976;638.8581800685624
1987;Deutsch;Betrug;489991;177988;56951607;860.363782184408;312.5249828332324
1987;Deutsch;Diebstahl und Unterschlagung;2154223;552880;56951607;3782.5499814254586;970.789112236991
1987;Deutsch;Gefährliche und schwere Körperverletzung;52919;43060;56951607;92.91923931136833;75.6080508843236
1987;Deutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);39204;33092;56951607;68.83739031279661;58.10547189651733
1987;Deutsch;Körperverletzung;240648;56500;56951607;422.54821712054587;99.20703378923092
1987;Deutsch;Mord und Totschlag;6286;2380;56951607;11.037440962816028;4.178986556077337
1987;Deutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;24477;19096;56951607;42.97859408953992;33.53022154405581
1987;Deutsch;Sexueller Missbrauch von Kindern;3661;4812;56951607;6.428264614201316;8.449278700774853
1987;Deutsch;Straftaten gegen den Staat,die öffentliche Ordnung;91568;64188;56951607;160.78211805331497;112.70621389138326
1987;Deutsch;Straftaten gegen die sexuelle Selbstbestimmung;16818;16548;56951607;29.530334411810365;29.056247701667136
1987;Deutsch;Straftaten im Straßenverkehr nach dem StGB;32502;809596;56951607;57.06950464101917;1421.5507562411715
1987;Deutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;59672;224128;56951607;104.77667469506171;393.54113396659733
1987;Deutsch;Straftaten nach dem Aufenthaltsgesetz;3070;1016;56951607;5.390541481998919;1.7839707315019224
1987;Deutsch;Straftaten nach dem Betäubungsmittelgesetz;210986;64476;56951607;370.46540231955174;113.21190638220271
1987;Deutsch;Straftaten nach dem StGB (ohne Verkehr);569289;1238224;56951607;999.6012930767696;2174.1686762236577
1987;Deutsch;Straftaten nach dem Straßenverkehrsgesetz;0;115384;56951607;0.0;202.6000776413561
1987;Deutsch;Urkundenfälschung;25981;49128;56951607;45.61943265270811;86.26271072561659
1987;Deutsch;Vergewaltigung;23717;3580;56951607;41.64412779432194;6.2860386011583484
1987;Deutsch;Verletzung der Unterhaltspflicht;11506;15456;56951607;20.203117358918423;27.138830340643416
1987;Nichtdeutsch;Andere Straftaten gegen die Person (ohne Verkehr);87810;26748;4286472;2048.5378185136865;624.0096750894442
