jahr;straftat_bezeichnung;nationalitaet;verurteilte
1986;Urkundenfälschung;Deutsch;51220
1986;Urkundenfälschung;Gesamt;64076
1986;Vergewaltigung;Nichtdeutsch;908
1986;Vergewaltigung;Deutsch;3716
1986;Vergewaltigung;Gesamt;4624
1986;Verletzung der Unterhaltspflicht;Nichtdeutsch;1116
1986;Verletzung der Unterhaltspflicht;Deutsch;17032
1986;Verletzung der Unterhaltspflicht;Gesamt;18148
1987;Andere Straftaten gegen die Person (ohne Verkehr);Nichtdeutsch;26748
1987;Andere Straftaten gegen die Person (ohne Verkehr);Deutsch;188580
1987;Andere Straftaten gegen die Person (ohne Verkehr);Gesamt;215328
1987;Andere Vermögensdelikte;Nichtdeutsch;56252
1987;Andere Vermögensdelikte;Deutsch;363840
1987;Andere Vermögensdelikte;Gesamt;420092
1987;Betrug;Nichtdeutsch;15416
1987;Betrug;Deutsch;177988
1987;Betrug;Gesamt;193404
1987;Diebstahl;Nichtdeutsch;87476
1987;Diebstahl;Deutsch;398156
1987;Diebstahl;Gesamt;485632
1987;Diebstahl und Unterschlagung;Nichtdeutsch;109632
1987;Diebstahl und Unterschlagung;Deutsch;552880
1987;Diebstahl und Unterschlagung;Gesamt;662512
1987;Gefährliche und schwere Körperverletzung;Nichtdeutsch;8352
1987;Gefährliche und schwere Körperverletzung;Deutsch;43060
1987;Gefährliche und schwere Körperverletzung;Gesamt;51412
1987;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;2580
1987;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Deutsch;33092
1987;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Gesamt;35672
1987;Körperverletzung;Nichtdeutsch;8264
1987;Körperverletzung;Deutsch;56500
1987;Körperverletzung;Gesamt;64764
1987;Mord und Totschlag;Nichtdeutsch;648
1987;Mord und Totschlag;Deutsch;2380
1987;Mord und Totschlag;Gesamt;3028
1987;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Nichtdeutsch;4472
1987;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Deutsch;19096
1987;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Gesamt;23568
1987;Schwerer Diebstahl;Nichtdeutsch;19680
1987;Schwerer Diebstahl;Deutsch;122428
1987;Schwerer Diebstahl;Gesamt;142108
1987;Sexueller Missbrauch von Kindern;Nichtdeutsch;552
1987;Sexueller Missbrauch von Kindern;Deutsch;4812
1987;Sexueller Missbrauch von Kindern;Gesamt;5364
1987;Straftaten gegen den Staat,die öffentliche Ordnung;Nichtdeutsch;7420
